시군구,위도,경도
서울특별시 종로구,37.5730,126.9794
서울특별시 중구,37.5641,126.9979
서울특별시 용산구,37.5384,126.9654
서울특별시 성동구,37.5633,127.0371
서울특별시 광진구,37.5385,127.0823
서울특별시 동대문구,37.5744,127.0400
서울특별시 중랑구,37.6066,127.0927
서울특별시 성북구,37.5891,127.0182
서울특별시 강북구,37.6396,127.0257
서울특별시 도봉구,37.6688,127.0471
서울특별시 노원구,37.6542,127.0568
서울특별시 은평구,37.6027,126.9291
서울특별시 서대문구,37.5791,126.9368
서울특별시 마포구,37.5638,126.9084
서울특별시 양천구,37.5169,126.8664
서울특별시 강서구,37.5510,126.8495
서울특별시 구로구,37.4954,126.8874
서울특별시 금천구,37.4519,126.9020
서울특별시 영등포구,37.5264,126.8962
서울특별시 동작구,37.5124,126.9393
서울특별시 관악구,37.4784,126.9516
서울특별시 서초구,37.4837,127.0324
서울특별시 강남구,37.5172,127.0473
서울특별시 송파구,37.5145,127.1066
서울특별시 강동구,37.5301,127.1238
부산광역시 중구,35.1061,129.0323
부산광역시 서구,35.0977,129.0241
부산광역시 동구,35.1391,129.0569
부산광역시 영도구,35.0912,129.0681
부산광역시 부산진구,35.1630,129.0532
부산광역시 동래구,35.2049,129.0836
부산광역시 남구,35.1366,129.0844
부산광역시 북구,35.1971,128.9904
부산광역시 강서구,35.2122,128.9806
부산광역시 해운대구,35.1631,129.1636
부산광역시 사하구,35.1044,128.9747
부산광역시 금정구,35.2430,129.0923
부산광역시 연제구,35.1762,129.0797
부산광역시 수영구,35.1456,129.1131
부산광역시 사상구,35.1526,128.9908
부산광역시 기장군,35.2445,129.2222
대구광역시 중구,35.8694,128.6062
대구광역시 동구,35.8866,128.6353
대구광역시 서구,35.8718,128.5591
대구광역시 남구,35.8460,128.5975
대구광역시 북구,35.8857,128.5828
대구광역시 수성구,35.8582,128.6306
대구광역시 달서구,35.8299,128.5328
대구광역시 달성군,35.7746,128.4317
인천광역시 중구,37.4737,126.6215
인천광역시 동구,37.4738,126.6433
인천광역시 미추홀구,37.4637,126.6505
인천광역시 연수구,37.4094,126.6783
인천광역시 남동구,37.4470,126.7319
인천광역시 부평구,37.5070,126.7218
인천광역시 계양구,37.5370,126.7377
인천광역시 서구,37.5454,126.6760
인천광역시 강화군,37.7467,126.4879
인천광역시 옹진군,37.2139,126.1783
광주광역시 동구,35.1461,126.9231
광주광역시 서구,35.1528,126.8911
광주광역시 남구,35.1221,126.9080
광주광역시 북구,35.1740,126.9120
광주광역시 광산구,35.1395,126.7937
대전광역시 동구,36.3270,127.4327
대전광역시 중구,36.3253,127.4212
대전광역시 서구,36.3545,127.3836
대전광역시 유성구,36.3622,127.3561
대전광역시 대덕구,36.3467,127.4156
울산광역시 중구,35.5688,129.3321
